object_id,name,faction,entity_class,type_group,marking,initial_state,n_tasks,n_dropped,t_first,t_last,kinds,sequence
FR-MORT-001,박격포 1,BLUE,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),FRMORT001,대기,2,0,02:00,05:41,fire_indirect×1 move×1,02:00 좌표 대상 간접사격→EN-FP-001 | 05:41 좌표로 이동→LOC_목표A남측
FR-MORT-003,박격포 3,BLUE,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),FRMORT003,대기,2,0,02:02,05:41,fire_indirect×1 move×1,02:02 좌표 대상 간접사격→EN-RT-001 | 05:41 좌표로 이동→LOC_목표A남측
FR-RPG-001,근접화력팀 1,BLUE,Turkish Soldier RPG,보병 - RPG 계열,FRRPG001,대기,2,0,01:24,05:36,move×2,01:24 좌표로 이동→LOC_동측능선 | 05:36 좌표로 이동→LOC_중앙킬존남측
FR-RPG-002,근접화력팀 2,BLUE,Turkish Soldier RPG,보병 - RPG 계열,FRRPG002,대기,2,0,01:24,05:36,move×2,01:24 좌표로 이동→LOC_동측능선 | 05:36 좌표로 이동→LOC_목표A남측
FR-RPG-003,근접화력팀 3,BLUE,Turkish Soldier RPG,보병 - RPG 계열,FRRPG003,대기,2,0,01:24,05:36,move×2,01:24 좌표로 이동→LOC_동측능선 | 05:36 좌표로 이동→LOC_중앙킬존남측
FR-RPG-004,근접화력팀 4,BLUE,Turkish Soldier RPG,보병 - RPG 계열,FRRPG004,대기,2,0,01:24,05:36,move×2,01:24 좌표로 이동→LOC_동측능선 | 05:36 좌표로 이동→LOC_목표A남측
FR-RPG-005,근접화력팀 5,BLUE,Turkish Soldier RPG,보병 - RPG 계열,FRRPG005,대기,2,0,01:24,05:36,move×2,01:24 좌표로 이동→LOC_동측능선 | 05:36 좌표로 이동→LOC_중앙킬존남측
FR-SNP-001,감시·저격조 1,BLUE,US Army XM107,보병 - 소총(M4 계열),FRSNP001,대기,2,0,00:30,05:36,move×2,00:30 좌표로 이동→LOC_적북측접근로 | 05:36 좌표로 이동→LOC_중앙킬존남측
FR-SNP-002,감시·저격조 2,BLUE,US Army XM107,보병 - 소총(M4 계열),FRSNP002,대기,2,0,00:31,05:36,move×2,00:31 좌표로 이동→LOC_적북측접근로 | 05:36 좌표로 이동→LOC_목표A남측
FR-SNP-003,감시·저격조 3,BLUE,US Army XM107,보병 - 소총(M4 계열),FRSNP003,대기,2,0,00:32,05:37,move×2,00:32 좌표로 이동→LOC_적북측접근로 | 05:37 좌표로 이동→LOC_중앙킬존남측
FR-SNP-004,감시·저격조 4,BLUE,US Army XM107,보병 - 소총(M4 계열),FRSNP004,대기,2,0,00:33,05:37,move×2,00:33 좌표로 이동→LOC_적북측접근로 | 05:37 좌표로 이동→LOC_목표A남측
FR-T69-001,서측 전차 1,BLUE,T-69 MBT,차량/장갑차 - M2HB 계열,FRT69001,대기,1,0,02:50,02:50,move×1,02:50 좌표로 이동→LOC_중앙킬존남측
FR-T69-002,서측 전차 2,BLUE,T-69 MBT,차량/장갑차 - M2HB 계열,FRT69002,대기,1,0,02:51,02:51,move×1,02:51 좌표로 이동→LOC_중앙킬존남측
FR-T69-003,서측 전차 3,BLUE,T-69 MBT,차량/장갑차 - M2HB 계열,FRT69003,대기,1,0,02:52,02:52,move×1,02:52 좌표로 이동→LOC_중앙킬존남측
FR-T69-004,서측 전차 4,BLUE,T-69 MBT,차량/장갑차 - M2HB 계열,FRT69004,대기,1,0,02:53,02:53,move×1,02:53 좌표로 이동→LOC_중앙킬존남측
FR-T69-005,서측 전차 5,BLUE,T-69 MBT,차량/장갑차 - M2HB 계열,FRT69005,대기,1,0,02:54,02:54,move×1,02:54 좌표로 이동→LOC_중앙킬존남측
FR-T80-001,동측 전차 1,BLUE,T-80 MBT,차량/장갑차 - M2HB 계열,FRT80001,대기,2,0,03:00,05:38,move×2,03:00 좌표로 이동→LOC_중앙킬존남측 | 05:38 좌표로 이동→LOC_중앙킬존남측
FR-T80-002,동측 전차 2,BLUE,T-80 MBT,차량/장갑차 - M2HB 계열,FRT80002,대기,2,0,03:01,05:38,move×2,03:01 좌표로 이동→LOC_중앙킬존남측 | 05:38 좌표로 이동→LOC_목표A남측
FR-T80-003,동측 전차 3,BLUE,T-80 MBT,차량/장갑차 - M2HB 계열,FRT80003,대기,2,0,03:02,05:38,move×2,03:02 좌표로 이동→LOC_중앙킬존남측 | 05:38 좌표로 이동→LOC_중앙킬존남측
FR-T80-004,동측 전차 4,BLUE,T-80 MBT,차량/장갑차 - M2HB 계열,FRT80004,대기,2,0,03:03,05:38,move×2,03:03 좌표로 이동→LOC_중앙킬존남측 | 05:38 좌표로 이동→LOC_목표A남측
FR-TRK1-001,탄약 보급차 1,BLUE,M1028 FMTV Canvas Cargo Truck,차량/장갑차 - M2HB 계열,FRTRK1001,대기,4,0,03:23,06:25,move×2 move_slow×1 set_speed×1,03:23 좌표로 이동→LOC_남측제1방어선 | 05:40 좌표로 이동→LOC_목표A남측 | 06:25 속도 지정 | 06:25 좌표로 이동→LOC_포병진지또는방어선후방
FR-TRK1-002,탄약 보급차 2,BLUE,M1028 FMTV Canvas Cargo Truck,차량/장갑차 - M2HB 계열,FRTRK1002,대기,4,0,03:24,06:26,move×2 move_slow×1 set_speed×1,03:24 좌표로 이동→LOC_남측제1방어선 | 05:40 좌표로 이동→LOC_중앙킬존남측 | 06:26 속도 지정 | 06:26 좌표로 이동→LOC_포병진지또는방어선후방
FR-TRK2-001,포탄 보급차 1,BLUE,M1083A1 FMTV Flatbed Truck,차량/장갑차 - M2HB 계열,FRTRK2001,대기,4,0,03:28,06:30,move×2 move_slow×1 set_speed×1,03:28 좌표로 이동→LOC_남측제1방어선 | 05:40 좌표로 이동→LOC_중앙킬존남측 | 06:30 속도 지정 | 06:30 좌표로 이동→LOC_포병진지또는방어선후방
FR-TRK2-002,포탄 보급차 2,BLUE,M1083A1 FMTV Flatbed Truck,차량/장갑차 - M2HB 계열,FRTRK2002,대기,4,0,03:29,06:31,move×2 move_slow×1 set_speed×1,03:29 좌표로 이동→LOC_남측제1방어선 | 05:40 좌표로 이동→LOC_목표A남측 | 06:31 속도 지정 | 06:31 좌표로 이동→LOC_포병진지또는방어선후방
FR-ZPU-001,대공화기 1,BLUE,ZPU-4 AA Gun,차량/장갑차 - M2HB 계열,FRZPU001,대기,2,0,03:32,05:41,move×2,03:32 좌표로 이동→LOC_중앙킬존남측 | 05:41 좌표로 이동→LOC_중앙킬존남측
FR-ZPU-002,대공화기 2,BLUE,ZPU-4 AA Gun,차량/장갑차 - M2HB 계열,FRZPU002,대기,2,0,03:33,05:41,move×2,03:33 좌표로 이동→LOC_중앙킬존남측 | 05:41 좌표로 이동→LOC_목표A남측
